Year,CumCost_Asphalt_GBP,CumCost_Plastic_GBP,Cost_Diff_GBP,CumCO2_Asphalt_t,CumCO2_Plastic_t,CO2_Diff_t
0,80168.8793440062,96202.6552128075,16033.7758688012,103.623792,82.8990336,-20.7247584
1,80168.8793440062,96202.6552128075,16033.7758688012,108.348194428437,87.6234360284371,-20.7247584
2,80168.8793440062,96202.6552128075,16033.7758688012,113.261572954012,92.5368145540117,-20.7247584
3,80168.8793440062,96202.6552128075,16033.7758688012,118.371486620609,97.6467282206093,-20.7247584
4,80168.8793440062,96202.6552128075,16033.7758688012,123.685796833871,102.961038433871,-20.7247584
5,80168.8793440062,96202.6552128075,16033.7758688012,129.212679455663,108.487921055663,-20.7247584
6,80168.8793440062,96202.6552128075,16033.7758688012,134.960637382326,114.235878982326,-20.7247584
7,80168.8793440062,96202.6552128075,16033.7758688012,140.938513626057,120.213755226057,-20.7247584
8,80425.4197579071,96202.6552128075,15777.2354549004,149.005616919536,126.430746519536,-22.5748704
9,80425.4197579071,96202.6552128075,15777.2354549004,155.471287864755,132.896417464755,-22.5748704
10,112492.97149551,96510.5037094885,-15982.4677860211,191.103585647782,141.100804847782,-50.0027808
11,112492.97149551,96510.5037094885,-15982.4677860211,198.09685534213,148.09407454213,-50.0027808
12,112492.97149551,134991.565794611,22498.5942991019,205.369855824253,178.493475024253,-26.8763808
13,112749.51190941,134991.565794611,22242.0538852011,214.78388832566,186.05739552566,-28.7264928
14,112749.51190941,134991.565794611,22242.0538852011,222.650365647123,193.923872847123,-28.7264928
15,144817.063647013,134991.565794611,-9825.4978524014,259.739502061445,202.105009261445,-57.6344928
16,144817.063647013,134991.565794611,-9825.4978524014,268.24788393234,210.61339113234,-57.6344928
17,144817.063647013,135299.414291292,-9517.64935572041,277.096601078071,220.942197878071,-56.1544032
18,145073.604060914,135299.414291292,-9774.18976962124,288.149378909631,230.144863709631,-58.0045152000001
19,145073.604060914,173780.476376415,28706.8723155018,297.720151374453,262.842036174453,-34.8781152000001
20,177141.155798516,173780.476376415,-3360.67942210071,336.581754737869,272.795639537869,-63.7861152000001
