npv_cost_gbp,total_co2_t,first_overlay_year
83025.1079321245,226.65624,9
185428.1107624,282.622128,6
102328.767585938,165.140016,11
115737.336439407,195.898128,9
91010.0000784932,228.506352,8
121940.300059159,257.414352,7
145188.847744579,257.414352,6
94535.4174272723,165.140016,11
107693.934409471,286.322352,7
118322.538633558,197.74824,9
86234.9452352604,165.140016,11
160501.685308991,257.414352,7
74090.9123850223,166.990128,11
99562.6709938752,226.65624,7
152142.159771498,282.622128,6
83055.3858763112,166.990128,10
72966.2640499262,165.140016,12
173240.729526728,284.47224,7
72551.0592319187,195.898128,10
101258.806458972,166.990128,10
83609.2295559733,228.506352,8
86871.0638945491,136.232016,14
80814.2712783996,165.140016,12
101431.754202788,197.74824,9
134133.855095638,226.65624,8
134340.523470186,226.65624,7
112473.280068073,195.898128,9
136141.410386551,284.47224,7
117764.344917087,195.898128,10
104338.981827882,226.65624,8
76410.1104632309,226.65624,7
139079.156693324,226.65624,9
109827.599654507,197.74824,9
106112.197410467,257.414352,7
137848.717585172,228.506352,7
99535.3108238856,165.140016,12
117515.935456311,165.140016,13
68870.2870489948,166.990128,11
121439.489894006,195.898128,9
97117.1016839418,226.65624,9
128887.863653893,197.74824,9
81816.5043794573,226.65624,8
96620.6807926468,166.990128,10
85555.5808206586,165.140016,12
92080.4711519791,226.65624,7
139812.915084283,226.65624,9
73958.3211052293,165.140016,13
76280.3820839398,195.898128,9
124615.147693644,195.898128,9
165919.604083364,284.47224,7
115778.593957963,286.322352,7
184220.037323367,284.47224,5
136430.84754665,257.414352,7
103953.791141035,226.65624,8
102651.284030197,253.714128,7
128016.188795966,197.74824,9
102987.872365713,226.65624,8
77104.8241526821,165.140016,12
129581.654259548,315.230352,5
97235.6391173914,286.322352,7
132036.147818417,257.414352,7
104765.061897434,257.414352,7
133757.474701604,286.322352,6
147579.502474927,259.264464,6
102813.966532297,195.898128,10
135297.894513433,257.414352,7
157920.071514758,286.322352,7
124801.433162184,166.990128,10
137949.89199625,255.56424,7
74577.8348496224,195.898128,10
90754.7842470267,165.140016,11
122911.24172924,286.322352,6
99854.6927765968,195.898128,10
77460.7163560625,165.140016,12
104300.145263536,195.898128,10
74519.8012639108,165.140016,13
140381.628390301,226.65624,7
81281.8381351633,197.74824,9
84390.5722199915,228.506352,7
114135.537091103,195.898128,9
82486.8954315669,195.898128,10
141199.00808096,255.56424,7
102450.413301028,226.65624,7
77083.5563898535,165.140016,13
97142.2066617489,257.414352,7
166257.543686458,257.414352,7
107910.914609089,195.898128,9
110340.290676212,195.898128,10
110539.156877582,257.414352,7
180156.774102005,311.530128,5
159389.273239136,286.322352,6
137913.46390819,228.506352,7
100304.501451725,195.898128,10
142693.163399729,226.65624,8
146527.018938381,257.414352,7
86963.2801633769,226.65624,8
107059.585016308,257.414352,7
119968.100975139,226.65624,8
105187.424119885,226.65624,9
192900.559960541,286.322352,6
108949.203847829,228.506352,7
89693.4312486055,257.414352,6
121124.828185418,166.990128,11
122226.931609929,197.74824,9
120896.210529063,166.990128,10
106082.867380707,257.414352,7
122562.116985852,286.322352,7
106078.511258228,165.140016,13
132313.18207151,195.898128,10
126047.005900001,195.898128,10
116411.134346775,165.140016,13
132450.736747522,226.65624,7
81465.184253636,165.140016,13
83241.1236233581,195.898128,10
98772.9632835062,226.65624,8
103862.506043257,228.506352,7
180556.598715338,253.714128,7
104077.759898004,226.65624,9
156488.59368026,228.506352,7
97805.2157926349,166.990128,11
87638.3249036638,166.990128,10
136920.134125812,257.414352,7
104051.759781826,226.65624,7
92981.2067962867,226.65624,8
116750.796375528,165.140016,13
128438.81357419,226.65624,7
164920.413826789,257.414352,7
95998.6393234149,136.232016,13
115446.911808524,313.38024,6
114611.711906628,226.65624,7
155999.960202702,257.414352,7
136028.271076212,226.65624,7
155350.723014954,255.56424,7
88554.5893678015,165.140016,12
87733.4915234623,195.898128,10
162966.946976584,259.264464,6
117097.78881943,257.414352,7
73055.5290970423,195.898128,9
138006.441108085,255.56424,7
84347.857318047,226.65624,8
140097.420034857,313.38024,6
73318.524472277,195.898128,10
137270.766017753,228.506352,8
138148.792654521,255.56424,7
104530.110984751,284.47224,6
104816.434407323,259.264464,6
126031.53327382,253.714128,7
134098.512533536,226.65624,8
80574.8596298985,165.140016,12
202493.1560327,284.47224,6
114993.410903082,197.74824,9
90691.6297895286,226.65624,8
116671.065712411,165.140016,12
131958.222723915,195.898128,10
115761.260464728,166.990128,10
154621.743375252,309.680016,5
79674.1366852926,226.65624,9
107731.929059296,226.65624,8
104085.861590739,166.990128,10
85718.789954963,195.898128,10
83623.5657170565,165.140016,12
98630.8519002574,165.140016,12
81094.9583540029,228.506352,7
120823.174193884,313.38024,6
125284.895369456,257.414352,7
115504.937143586,165.140016,12
109250.786478033,286.322352,6
83959.3192425476,165.140016,13
134380.8190135,195.898128,10
162499.670628736,282.622128,7
124323.083568965,226.65624,8
108008.353859966,165.140016,12
92077.1518069329,226.65624,8
118080.667505887,166.990128,11
113799.918224488,228.506352,8
137854.923668951,226.65624,8
83575.2044301063,165.140016,12
108292.012215882,255.56424,7
217680.930980557,415.15392,5
88696.2847078728,165.140016,11
124279.124608253,195.898128,9
150302.249971516,257.414352,7
124279.827806745,257.414352,7
127550.521765831,226.65624,8
