npv_cost_gbp,total_co2_t,first_overlay_year
67226.0774463722,50.103696,7
155665.974150128,58.35912,5
85548.8487634689,44.672496,8
106556.627470289,50.103696,6
84177.2407171321,86.194896,5
97774.8543298382,52.819296,5
117100.574647438,55.426272,5
83500.7843215096,44.672496,7
87635.4671505301,55.534896,5
101490.409411975,50.21232,6
73957.1192138537,44.672496,8
145065.296132284,58.250496,4
58593.1130946988,41.956896,9
85743.5069928736,52.92792,5
146689.883237105,91.843344,4
71446.6964157387,44.78112,7
62278.8772236053,44.672496,8
162470.829567284,63.573072,4
63652.0968683783,47.605344,6
77817.5513860121,41.956896,9
63866.146017975,47.49672,7
71741.0504081509,41.848272,10
69325.033989492,44.78112,7
81873.8774168197,47.279472,7
111335.719021921,50.103696,6
116847.680827795,52.710672,6
99588.8282341275,50.21232,6
104205.429501355,52.819296,6
97078.8515507405,47.388096,7
98799.0381347735,55.534896,5
58377.5245406638,50.21232,7
109922.887656248,47.49672,7
82141.0937427306,44.672496,9
101914.962105942,60.857472,4
121785.163778434,55.317648,5
84862.9824032788,44.672496,8
88954.6465698236,39.132672,10
56660.6160000073,44.672496,8
101638.935158158,47.49672,7
79154.4917722079,50.103696,7
103942.911694973,47.49672,7
64846.8252312535,47.605344,6
77427.4430115611,44.672496,9
67569.5143465504,41.956896,9
85453.1467314117,55.317648,5
126837.843872095,52.602048,5
54948.3504032403,39.024048,11
61954.2076200207,47.49672,7
104776.269541105,47.49672,7
167236.185704441,119.353248,4
90928.6428214705,55.426272,5
162673.699904388,86.30352,4
101036.889181238,50.21232,7
89404.1719862169,52.710672,6
83696.3421809439,52.710672,5
106304.309385492,47.49672,7
74841.7736331516,44.78112,7
62404.325719832,41.956896,9
92199.9699163557,55.534896,5
93772.4840582245,91.626096,4
95381.9554931641,50.21232,7
91040.8872966667,55.534896,5
107310.089549179,55.534896,5
123464.604287951,55.534896,5
83674.9283653176,44.78112,7
112591.41301859,55.534896,5
145271.552911217,88.910496,4
97556.5319292752,41.956896,8
111838.55600238,52.819296,5
64474.4863889075,47.605344,6
72061.4064145759,41.848272,9
113080.109198282,88.801872,4
77586.1084191094,44.672496,8
62230.0555012236,41.848272,9
83086.1432929687,44.672496,8
56349.9953263363,39.132672,10
147957.903777972,60.857472,4
67977.6323113003,47.605344,6
78310.6472196411,55.317648,5
95658.7012458711,47.279472,7
64749.2307522616,44.672496,8
110180.284986946,50.21232,6
78874.2347342705,47.605344,6
61484.8490568586,41.848272,10
96796.8054534493,88.693248,4
137823.449485311,52.819296,5
85322.4867040703,44.78112,7
93906.5609741993,47.388096,7
99542.5394727746,86.194896,5
129837.831957852,55.426272,5
117404.417018944,52.602048,5
112557.401399597,50.21232,6
88635.3507322256,50.103696,7
108847.978972151,47.388096,7
137847.528854494,58.141872,4
76366.9635706079,52.819296,5
104335.030622966,86.194896,5
95393.5181293757,50.103696,7
76850.1414759833,44.672496,8
181529.213474028,88.693248,4
94240.1641416924,52.92792,5
75210.437589785,55.534896,4
105961.065177657,44.78112,7
96080.7516922937,44.78112,7
102027.844021381,44.78112,7
84905.2530525274,52.819296,6
92049.1576261566,52.710672,6
84244.1755741149,41.848272,10
101726.486488149,44.672496,9
91480.1142078644,41.956896,9
101508.456296234,44.672496,9
112964.385741897,52.92792,5
65632.3064542567,41.848272,10
68908.7507486793,47.49672,7
80143.2139273616,50.103696,6
90839.840411833,55.534896,5
142199.691075575,52.819296,6
86640.3625332685,50.103696,7
135592.732206512,52.819296,5
81556.782082113,44.672496,8
78333.4017319607,47.49672,7
113256.801445007,55.426272,5
77312.0839456886,47.49672,7
76420.2166397682,50.21232,6
101631.397651988,44.672496,8
107944.849841049,52.819296,5
163836.295946943,60.748848,4
79767.412393103,41.956896,9
84554.9555558509,55.534896,5
85718.6189105902,47.388096,7
124106.465472653,52.710672,6
115809.160926893,52.819296,5
127791.436872796,55.534896,5
71388.0728718443,41.956896,9
66616.529081119,41.956896,8
148963.147519053,58.033248,4
94475.3908723532,52.710672,5
57790.2923574745,44.78112,7
132587.347098797,58.141872,4
63714.0354682772,47.49672,7
111423.808750507,114.139296,5
62170.7026700708,47.605344,7
120138.637047812,52.92792,5
112863.20577681,52.819296,5
92761.8833576094,88.693248,4
90640.4458471702,55.534896,4
109566.877028332,55.534896,5
114297.466698596,50.103696,5
60017.1070001563,39.132672,11
165715.490613266,58.35912,5
95833.1119957497,47.49672,7
72978.1408594401,50.21232,7
97313.2287238365,44.672496,8
112527.581512896,47.49672,7
100835.931154465,47.49672,7
118067.701035168,58.141872,5
71331.6993395083,52.602048,5
82754.459262215,47.49672,7
88816.9755022399,44.78112,7
63101.3611071321,41.848272,9
64596.0546157897,41.848272,10
79230.2906633967,41.956896,9
59185.5549124707,47.49672,7
87690.0279278034,55.64352,6
93587.9799348254,50.103696,7
91227.8403848248,41.848272,9
92866.5196182485,83.479296,4
69323.4375027586,41.956896,9
124679.435882834,50.21232,6
135079.562788367,86.194896,5
114496.405709698,55.426272,5
84007.3602915406,41.848272,10
85293.869622739,55.317648,6
92955.1941177201,41.956896,9
104223.349378774,55.426272,5
123719.044312628,52.710672,6
72379.6456770625,44.672496,8
83056.6808432626,50.21232,6
181795.414350425,122.177472,4
68607.716602275,41.848272,10
110138.642543268,50.21232,6
117233.155017173,52.819296,6
97344.7912420976,52.819296,6
101980.728666375,50.21232,6
133642.067929506,55.426272,5
66604.6616525201,41.848272,9
75174.3365931903,47.49672,7
104267.435522921,52.710672,5
97963.9653593899,50.103696,6
85201.7576979861,41.848272,9
74022.1691056189,41.848272,10
116796.816307394,52.819296,5
106411.220420786,47.49672,7
72197.3877952722,55.317648,5
98901.9751016196,47.49672,7
92765.1744058266,44.672496,7
87129.2351341979,44.672496,9
71437.7344801197,47.49672,7
85142.1239209727,50.21232,6
66949.0485128873,44.672496,8
58402.9939683936,41.956896,9
84475.5235307746,50.21232,7
110249.999151903,86.194896,5
74937.4059967332,50.21232,6
75214.6014594792,47.605344,7
68109.2477860141,50.21232,7
76544.703777089,44.78112,8
101222.18706666,50.103696,6
108919.878753656,91.73472,4
58581.2936796852,44.78112,7
91107.2113944725,88.801872,4
91950.5396487524,50.21232,7
97219.7166351704,44.78112,7
78724.4683719524,41.848272,9
121382.275943768,94.233072,4
84460.9027771439,41.848272,10
102777.283348998,52.710672,6
107846.660311528,47.388096,7
103143.999940495,44.672496,8
101408.285384688,47.49672,7
85282.464130704,52.819296,6
131674.534920233,55.534896,5
85535.8364044391,58.141872,5
68582.3372111273,52.710672,6
89362.6008800678,41.848272,10
82396.116772479,47.605344,7
71847.4117028695,47.49672,7
68682.1730711319,47.49672,7
192352.310588265,119.570496,4
78323.5939443572,58.141872,5
110773.862234262,47.49672,7
160881.154014198,63.681696,4
106417.490744224,52.710672,5
75628.9671763838,47.49672,7
89889.7640443474,50.21232,7
77474.9917763912,55.426272,6
