npv_cost_gbp,total_co2_t,first_overlay_year
96537.2310724704,158.198592,9
185808.719459279,182.8050816,8
118446.869305501,132.1120128,13
125763.086808291,133.5921024,11
106059.36886873,179.8449024,9
120461.275555956,158.198592,8
157039.703944854,181.324992,8
101699.763552212,108.9856128,14
98186.2756973372,156.7185024,10
134101.790962483,156.7185024,11
100248.532505214,132.1120128,13
169204.825665627,181.324992,8
78506.3728358158,108.9856128,14
106972.142628377,156.7185024,9
167734.276789417,204.451392,7
97275.1615201341,132.1120128,11
80633.3077412761,108.9856128,15
182694.868774351,179.8449024,8
80564.9198732321,132.1120128,12
115874.118782071,132.1120128,13
84649.016748963,133.5921024,11
100967.951877071,108.9856128,19
96972.5172937876,132.1120128,12
120306.365661705,156.7185024,9
141859.146459562,156.7185024,10
159523.23744368,181.324992,7
123685.374913563,132.1120128,11
140660.444848063,181.324992,8
132001.169158377,132.1120128,12
113110.606217835,156.7185024,10
83700.3423204485,158.198592,9
153277.617008211,156.7185024,10
118348.613853898,132.1120128,12
122516.445283783,182.8050816,7
148692.428864828,158.198592,9
117075.737444233,132.1120128,13
129098.205797393,108.9856128,15
79344.0485416986,132.1120128,13
131810.53968362,132.1120128,12
108980.962365207,156.7185024,10
141667.209985833,132.1120128,11
83938.044932602,133.5921024,10
109855.173616427,132.1120128,13
96832.7157822991,108.9856128,13
97510.6314060006,156.7185024,9
158945.421382471,156.7185024,9
79414.0091155007,108.9856128,18
86321.5686565736,133.5921024,10
132290.750318094,132.1120128,12
186582.062840849,202.9713024,7
108545.015444591,156.7185024,10
185112.232102949,181.324992,7
142448.935583012,156.7185024,9
124162.253651902,179.8449024,8
91991.1312199768,133.5921024,10
137762.561461769,132.1120128,11
107301.848997154,133.5921024,10
83113.1288396566,108.9856128,15
132894.52689866,204.451392,7
103799.669855203,204.451392,8
129911.970699904,156.7185024,10
110373.786015498,158.198592,9
143609.240667869,182.8050816,7
152668.895464388,158.198592,8
100896.024576712,108.9856128,14
143507.434978295,158.198592,8
177995.86548797,204.451392,7
142966.250580999,132.1120128,12
148012.706077935,181.324992,8
86840.4344951655,133.5921024,10
98282.1817435242,108.9856128,14
130953.960518003,182.8050816,7
106510.138430627,132.1120128,14
91024.6694899709,132.1120128,13
116404.45496119,132.1120128,13
81067.5386814863,108.9856128,17
169380.441532043,179.8449024,7
93835.3770570669,156.7185024,10
99494.0183126137,181.324992,8
123400.413231223,133.5921024,11
88405.5569775361,132.1120128,13
130081.98075016,133.5921024,10
102377.204087359,132.1120128,11
87610.0671981138,108.9856128,13
113655.163521707,201.4912128,7
166560.021825415,156.7185024,9
119553.231943335,133.5921024,10
120338.64754907,132.1120128,12
116755.435318165,181.324992,9
172432.248397327,182.8050816,7
158479.283038832,181.324992,7
150286.470644339,158.198592,8
112386.222551248,132.1120128,11
158464.893314776,156.7185024,9
159832.341040068,181.324992,8
95035.7656857802,158.198592,9
106208.225064595,158.198592,9
130765.861657748,156.7185024,10
110300.997461718,132.1120128,11
210439.365420327,204.451392,7
120041.961576274,158.198592,8
91886.3167932738,158.198592,8
141943.54708906,132.1120128,12
133100.76032916,133.5921024,11
140178.500644926,132.1120128,12
123601.977148837,205.9314816,7
112009.933191645,156.7185024,9
119552.361107203,107.5055232,16
131161.070168263,108.9856128,14
123355.757689507,108.9856128,14
125776.960121369,108.9856128,17
140311.284130554,156.7185024,10
90185.5498583717,108.9856128,14
92713.3688864148,132.1120128,12
97751.8316928364,132.1120128,12
121195.268578985,181.324992,8
175387.831533702,158.198592,9
113754.707318829,156.7185024,10
168420.542090771,158.198592,8
116625.518691999,133.5921024,11
99490.3764823613,132.1120128,13
147989.72171584,181.324992,8
102751.855693424,132.1120128,11
99782.2114773863,156.7185024,10
131180.506914861,108.9856128,15
141107.942578807,158.198592,9
198601.519211345,204.451392,7
114241.197282946,108.9856128,14
115846.687713086,182.8050816,7
111952.808814934,133.5921024,10
153432.627051684,156.7185024,10
140620.986234759,133.5921024,10
153240.178256572,156.7185024,9
96742.7758143032,108.9856128,15
100337.002335183,132.1120128,11
164603.873047238,158.198592,8
123805.502854196,156.7185024,9
80750.9876737798,132.1120128,11
143958.121358448,158.198592,9
85110.7174411587,132.1120128,11
146372.34780839,202.9713024,7
81512.1017720592,132.1120128,12
150748.710913713,158.198592,9
145808.013744135,158.198592,9
97220.678735294,156.7185024,9
105126.752543485,158.198592,8
139498.414118425,179.8449024,8
154020.79611606,156.7185024,9
90354.6996107208,108.9856128,15
177376.802487941,158.198592,9
120024.527801947,132.1120128,12
90953.0916814135,132.1120128,12
140005.278854893,132.1120128,12
143864.964369309,132.1120128,13
