Year,Backlog_km,Backlog_fraction,Acceptable_km,Acceptable_fraction,Cumulative_cost_GBP,Cumulative_CO2_whole_life_t,Cumulative_CO2_construction_t,Cumulative_CO2_use_phase_t
0,15,0.15,85,0.85,0,0,0,0
1,18.2142908142908,0.182142908142908,81.7857091857092,0.817857091857092,340914.075,714.192022884615,319.7086575,394.483365384615
2,16.8415333272461,0.168415333272461,83.1584666727539,0.831584666727539,754881.28198233,1488.79521598002,707.926421736767,780.868794243249
3,16.4732530971494,0.164732530971494,83.5267469028506,0.835267469028506,1137648.99903831,2248.32061064977,1066.88535575646,1181.43525489331
4,16.0461586832342,0.160461586832342,83.9538413167658,0.839538413167658,1512046.58849535,3011.47578544872,1417.99479791295,1593.48098753578
5,15.7293427427693,0.157293427427693,84.2706572572307,0.842706572572307,1876737.34481522,3778.94517514726,1760.0011879562,2018.94398719106
6,15.4709522424356,0.154709522424356,84.5290477575644,0.845290477575644,2234227.6335825,4554.02398406789,2095.25499139941,2458.76899266848
7,15.2643057481305,0.152643057481305,84.7356942518695,0.847356942518695,2585845.32512244,5339.01576924112,2425.00148284446,2914.01428639666
8,15.0978919723073,0.150978919723073,84.9021080276927,0.849021080276927,2932766.43676518,6136.00610909741,2750.34352940474,3385.66257969267
9,14.9637899552665,0.149637899552665,85.0362100447335,0.850362100447335,3275905.36184445,6946.8140207004,3072.13864764117,3874.67537305923
10,14.8555209766228,0.148555209766228,85.1444790233772,0.851444790233772,3615996.46925071,7773.07271876909,3391.07552748852,4381.99719128057
11,14.7679840971731,0.147679840971731,85.2320159028269,0.852320159028269,3953626.88207661,8616.27145725367,3707.70477201513,4908.56668523854
12,14.6971133870428,0.146971133870428,85.3028866129573,0.853028866129573,4289267.79128344,9477.79256886269,4022.4682633277,5455.32430553499
13,14.6396664140723,0.146396664140723,85.3603335859277,0.853603335859277,4623297.97898436,10358.9402143012,4335.72122266748,6023.21899163376
14,14.5930497338137,0.145930497338137,85.4069502661863,0.854069502661863,4956022.53457517,11260.963537478,4647.74976236688,6613.21377511115
15,14.5551844830509,0.145551844830509,85.4448155169491,0.854448155169491,5287687.60467064,12185.0753192171,4958.78471831543,7226.29060090164
16,14.5244007197055,0.145244007197055,85.4755992802945,0.854755992802945,5618492.08830355,13132.4671478107,5269.01261769817,7863.45453011258
17,14.4993544016475,0.144993544016475,85.5006455983525,0.855006455983525,5948596.93072273,14104.3218613414,5578.5843947041,8525.73746663725
18,14.4789618744015,0.144789618744015,85.5210381255985,0.855210381255985,6278132.53031839,15101.8238534975,5887.6223367286,9214.20151676891
19,14.4623480221248,0.144623480221248,85.5376519778752,0.855376519778752,6607204.65660984,16126.1677029483,6196.22563425251,9929.9420686958
20,14.4488051069561,0.144488051069561,85.5511948930439,0.855511948930439,6935899.18982923,17178.5654864838,6504.47482561593,10674.0906608679
