Year,Backlog_km,Backlog_fraction,Acceptable_km,Acceptable_fraction,Cumulative_cost_GBP,Cumulative_CO2_whole_life_t,Cumulative_CO2_construction_t,Cumulative_CO2_use_phase_t
0,15,0.15,85,0.85,0,0,0,0
1,18.2142908142908,0.182142908142908,81.7857091857092,0.817857091857092,241143.9,571.886595384615,177.40323,394.483365384615
2,17.9451067808195,0.179451067808195,82.0548932191805,0.820548932191805,533961.574846151,1189.44741741755,392.821498174301,796.625919243249
3,18.4324404147654,0.184324404147654,81.5675595852346,0.815675595852347,822451.777182369,1829.10095460184,605.056158548454,1224.04479605338
4,18.6187230456394,0.186187230456394,81.3812769543606,0.813812769543606,1118776.48172464,2494.64966629838,823.054456305915,1671.59520999246
5,18.8024291332496,0.188024291332496,81.1975708667505,0.811975708667505,1418095.91427433,3183.78728691447,1043.25589675737,2140.5313901571
6,18.9265075686715,0.189265075686715,81.0734924313285,0.810734924313285,1720368.65365203,3896.2721538656,1265.63000742968,2630.64214643592
7,19.0206709968864,0.190206709968864,80.9793290031136,0.809793290031136,2024636.11021796,4631.78616930865,1489.47157911646,3142.31459019218
8,19.0886367675466,0.190886367675466,80.9113632324534,0.809113632324534,2330417.36253837,5390.37465243212,1714.42681055746,3675.94784187466
9,19.1380406086498,0.191380406086498,80.8619593913502,0.808619593913502,2637291.250259,6172.26963217804,1940.1858651481,4232.08376702994
10,19.1733996222904,0.191733996222904,80.8266003777096,0.808266003777096,2944959.36697422,6977.88066912455,2166.52921313781,4811.35145598674
11,19.1984328299167,0.191984328299167,80.8015671700833,0.808015671700833,3253195.92438606,7807.756958071,2393.29074800948,5414.46621006152
12,19.2158507431911,0.192158507431911,80.7841492568089,0.807841492568089,3561834.92215234,8662.5659665789,2620.34834767383,6042.21761890507
13,19.2277043082253,0.192277043082253,80.7722956917747,0.807722956917747,3870753.93482107,9543.07545654693,2847.61194694316,6695.46350960377
14,19.2355192472945,0.192355192472945,80.7644807527056,0.807644807527056,4179863.50848322,10450.1404217001,3075.01573692744,7375.1246847727
15,19.2404318590481,0.192404318590481,80.759568140952,0.80759568140952,4489098.71713773,11384.6932967752,3302.51195327392,8082.18134350124
16,19.2432834211914,0.192432834211914,80.7567165788086,0.807567165788086,4798412.90221607,12347.7368449971,3530.06627049992,8817.67057449718
17,19.2446939997283,0.192446939997283,80.7553060002717,0.807553060002717,5107772.92974883,13340.3391032123,3757.6543128149,9582.68479039742
18,19.2451177646111,0.192451177646111,80.7548822353889,0.807548822353889,5417155.6341089,14363.629942691,3985.2590378758,10378.3709048152
19,19.2448849628254,0.192448849628254,80.7551150371746,0.807551150371746,5726545.15102341,15418.7988951378,4212.86877475396,11205.9301203838
20,19.2442335644195,0.192442335644195,80.7557664355805,0.807557664355805,6035930.92535588,16507.0939752543,4440.47575831287,12066.6182169414
