Year,Backlog_km,Backlog_fraction,Acceptable_km,Acceptable_fraction,Cumulative_cost_GBP,Cumulative_CO2_whole_life_t,Cumulative_CO2_construction_t,Cumulative_CO2_use_phase_t
0,15,0.15,85,0.85,0,0,0,0
1,12.7500035700036,0.127500035700036,87.2499964299964,0.872499964299964,340914.075,714.192022884615,319.7086575,394.483365384615
2,12.6466025431018,0.126466025431018,87.3533974568982,0.873533974568982,630691.119887631,1399.5520205514,591.461092465737,808.090928085659
3,12.3250571707922,0.123250571707922,87.6749428292079,0.876749428292078,918118.107079244,2093.7613352983,861.009647198481,1232.75168809982
4,12.0796784466873,0.120796784466873,87.9203215533127,0.879203215533127,1198237.13805943,2794.3759263064,1123.70481264413,1670.67111366227
5,11.8655325967254,0.118655325967254,88.1344674032746,0.881344674032746,1472779.29832275,3503.82714322013,1381.1699979256,2122.65714529453
6,11.6822755389513,0.116822755389513,88.3177244610487,0.883177244610487,1742454.43629575,4223.75512149296,1634.07089772704,2589.68422376592
7,11.5248003053902,0.115248003053902,88.4751996946098,0.884751996946098,2007964.58024619,4955.7585817235,1883.06587300059,3072.69270872291
8,11.389404362264,0.11389404362264,88.6105956377361,0.886105956377361,2269895.68929098,5701.32689269371,2128.70443524004,3572.62245745367
9,11.2728714493937,0.112728714493937,88.7271285506063,0.887271285506063,2528749.5728218,6461.87162295518,2371.45718046565,4090.41444248953
10,11.1724826100628,0.111724826100628,88.8275173899372,0.888275173899372,2784954.94233939,7238.74213811151,2611.72615361603,4627.01598449548
11,11.0859260137993,0.110859260137993,88.9140739862007,0.889140739862007,3038878.71397027,8033.24041487004,2849.85544802972,5183.38496684033
12,11.0112344622464,0.110112344622464,88.9887655377537,0.889887655377537,3290835.26147112,8846.63362178865,3086.13988289746,5760.4937388912
13,10.9467315277012,0.109467315277012,89.0532684722988,0.890532684722988,3541094.24889145,9680.16503889411,3320.83234872029,6359.33269017382
14,10.8909866773923,0.108909866773923,89.1090133226077,0.891090133226077,3789887.23909409,10535.0635675715,3554.15000476924,6980.91356280224
15,10.842777621462,0.10842777621462,89.157222378538,0.89157222378538,4037413.28235812,11412.5520687791,3786.27952006787,7626.2725487112
16,10.8010586963509,0.108010586963509,89.1989413036491,0.891989413036491,4283843.64924155,12313.8547248648,4017.38151186312,8296.47321300166
17,10.7649342696249,0.107649342696249,89.2350657303751,0.892350657303751,4529325.84487403,13240.2035888943,4247.59431022239,8992.60927867194
18,10.7336363330144,0.107336363330144,89.2663636669856,0.892663636669856,4773987.01880502,14192.8444589298,4477.03715578355,9715.8073031462
19,10.7065055938539,0.107065055938539,89.2934944061461,0.892934944061461,5017936.86559542,15173.0421928192,4705.81291992497,10467.2292728943
20,10.6829754935323,0.106829754935323,89.3170245064677,0.893170245064677,5261270.09566283,16182.0855608981,4934.01042192012,11248.075138978
