scenario,material,loading_mode,AADT_two_way,pct_HGV,ESAs_per_HV_used,npv_cost_ngn,npv_cost_gbp,total_co2_t,service_life_years,first_overlay_year,first_recon_year,n_minor,n_overlay,n_recon
Base,asphalt,overload,13667,0.159,10,102309388.131196,99872.4991518897,195.898128,20,10,NaN,3,3,0
Base,laterite,overload,13667,0.159,10,81632311.381808,79687.9259877079,44.672496,20,8,NaN,4,4,0
Base,plastic,overload,13667,0.159,10,113392529.188173,110691.652858427,132.1120128,20,12,NaN,2,2,0
NoOverload,asphalt,no_overload,13667,0.159,1.6,87543773.5687098,85458.5841162728,134.381904,20,16,NaN,1,1,0
NoOverload,laterite,no_overload,13667,0.159,1.6,68501224.2114145,66869.6058291824,39.024048,20,13,NaN,2,2,0
NoOverload,plastic,no_overload,13667,0.159,1.6,98638057.480439,96288.6152679021,85.8592128,20,NaN,NaN,2,0,0
LowGrowth_2pct,asphalt,overload,13667,0.159,10,98247525.6384797,95907.3854338927,166.990128,20,10,NaN,3,2,0
LowGrowth_2pct,laterite,overload,13667,0.159,10,80747326.9604613,78824.0208516803,44.672496,20,8,NaN,4,4,0
LowGrowth_2pct,plastic,overload,13667,0.159,10,111818058.333645,109154.684042996,132.1120128,20,13,NaN,2,2,0
HighGrowth_6pct,asphalt,overload,13667,0.159,10,102722143.447658,100275.423123446,195.898128,20,10,NaN,3,3,0
HighGrowth_6pct,laterite,overload,13667,0.159,10,82894097.9660346,80919.6583034309,44.672496,20,7,NaN,4,4,0
HighGrowth_6pct,plastic,overload,13667,0.159,10,113959456.831085,111245.076953421,132.1120128,20,12,NaN,2,2,0
LowDiscount_8pct,asphalt,overload,13667,0.159,10,115048883.827237,112308.555083207,195.898128,20,10,NaN,3,3,0
LowDiscount_8pct,laterite,overload,13667,0.159,10,92199821.7748142,90003.7307446448,44.672496,20,8,NaN,4,4,0
LowDiscount_8pct,plastic,overload,13667,0.159,10,123569618.643493,120626.336044018,132.1120128,20,12,NaN,2,2,0
HighDiscount_15pct,asphalt,overload,13667,0.159,10,96439103.3167257,94142.0375993027,195.898128,20,10,NaN,3,3,0
HighDiscount_15pct,laterite,overload,13667,0.159,10,76480544.4209696,74658.8680407747,44.672496,20,8,NaN,4,4,0
HighDiscount_15pct,plastic,overload,13667,0.159,10,108794996.082133,106203.627569439,132.1120128,20,12,NaN,2,2,0
ClimateMin_1p0,asphalt,overload,13667,0.159,10,96495787.5112647,94197.3716431713,165.140016,20,11,NaN,2,2,0
ClimateMin_1p0,laterite,overload,13667,0.159,10,78350680.0052412,76484.4592007431,44.672496,20,9,NaN,4,4,0
ClimateMin_1p0,plastic,overload,13667,0.159,10,106743386.910668,104200.885309125,108.9856128,20,14,NaN,2,1,0
ClimateMax_1p3,asphalt,overload,13667,0.159,10,105221044.28724,102714.8030918,197.74824,20,9,NaN,4,3,0
ClimateMax_1p3,laterite,overload,13667,0.159,10,86104665.6691519,84053.7540698476,47.49672,20,7,NaN,5,5,0
ClimateMax_1p3,plastic,overload,13667,0.159,10,115794945.013518,113036.845971806,132.1120128,20,11,NaN,2,2,0
MinorBoost_2,asphalt,overload,13667,0.159,10,102718042.519144,100271.419874213,195.898128,20,10,NaN,3,3,0
MinorBoost_2,laterite,overload,13667,0.159,10,82614533.2056439,80646.7524459624,44.78112,20,7,NaN,5,4,0
MinorBoost_2,plastic,overload,13667,0.159,10,113947272.333498,111233.182676199,132.1120128,20,12,NaN,2,2,0
MinorTrigger_60,asphalt,overload,13667,0.159,10,104541082.190209,102051.036890091,192.197904,20,9,NaN,1,3,0
MinorTrigger_60,laterite,overload,13667,0.159,10,82891950.6941368,80917.5621770175,44.563872,20,7,NaN,3,4,0
MinorTrigger_60,plastic,overload,13667,0.159,10,113376729.058254,110676.229068971,132.1120128,20,12,NaN,2,2,0
CostLow_0p8x,asphalt,overload,13667,0.159,10,81847510.5049567,79897.9993215118,195.898128,20,10,NaN,3,3,0
CostLow_0p8x,laterite,overload,13667,0.159,10,65305849.1054464,63750.3407901663,44.672496,20,8,NaN,4,4,0
CostLow_0p8x,plastic,overload,13667,0.159,10,90714023.3505384,88553.3222867419,132.1120128,20,12,NaN,2,2,0
CostHigh_1p5x,asphalt,overload,13667,0.159,10,153464082.196794,149808.748727835,195.898128,20,10,NaN,3,3,0
CostHigh_1p5x,laterite,overload,13667,0.159,10,122448467.072712,119531.888981562,44.672496,20,8,NaN,4,4,0
CostHigh_1p5x,plastic,overload,13667,0.159,10,170088793.782259,166037.479287641,132.1120128,20,12,NaN,2,2,0
AlphaLow_0p2,asphalt,overload,13667,0.159,10,94966214.0259041,92704.2307945178,165.140016,20,12,NaN,2,2,0
AlphaLow_0p2,laterite,overload,13667,0.159,10,75480870.3890158,73683.0050654196,41.848272,20,9,NaN,3,3,0
AlphaLow_0p2,plastic,overload,13667,0.159,10,105865524.027382,103343.93208452,108.9856128,20,15,NaN,2,1,0
AlphaHigh_0p6,asphalt,overload,13667,0.159,10,137701537.171977,134421.648937892,284.47224,20,6,NaN,4,6,0
AlphaHigh_0p6,laterite,overload,13667,0.159,10,123106863.851569,120174.603525546,91.626096,20,4,20,4,9,1
AlphaHigh_0p6,plastic,overload,13667,0.159,10,144550143.756397,141107.129789532,205.9314816,20,7,NaN,5,5,0
