Year,CI,Cost_NGN,Cost_GBP,CO2_kg,CO2_t
0,100,82125000,80168.8793440062,103623.792,103.623792
1,95.5639694521714,0,0,4724.40242843712,4.72440242843712
2,91.0754353415007,0,0,4913.37852557461,4.9133785255746
3,86.5337762511421,0,0,5109.91366659759,5.10991366659759
4,81.9383634093414,0,0,5314.31021326149,5.31431021326149
5,77.2885606023853,0,0,5526.88262179195,5.52688262179195
6,72.5837240865208,0,0,5747.95792666363,5.74795792666363
7,67.8232024988316,0,0,5977.87624373018,5.97787624373018
8,65.2547492282341,262800,256.54041390082,8067.10329347938,8.06710329347938
9,58.6085536618275,0,0,6465.67094521856,6.46567094521856
10,79.8836956644887,32850000,32067.5517376025,35632.2977830273,35.6322977830273
11,74.893764598336,0,0,6993.2696943484,6.9932696943484
12,69.8447741644706,0,0,7273.00048212233,7.27300048212233
13,66.8782985130836,262800,256.54041390082,9414.03250140723,9.41403250140723
14,59.8293696891573,0,0,7866.47732146351,7.86647732146351
15,80.6970118010066,32850000,32067.5517376025,37089.136414322,37.089136414322
16,75.4047105784251,0,0,8508.38187089494,8.50838187089494
17,70.0497712232107,0,0,8848.71714573074,8.84871714573074
18,68.6314523687073,262800,256.54041390082,11052.77783156,11.05277783156
19,61.1553862390968,0,0,9570.77246482236,9.57077246482237
20,81.5908355727784,32850000,32067.5517376025,38861.6033634153,38.8616033634153
