Year,CI,Cost_NGN,Cost_GBP,CO2_kg,CO2_t
0,100,61593750,60126.6595080047,33375.6,33.3756
1,94.0113587604314,0,0,4724.40242843712,4.72440242843712
2,87.951837711026,0,0,4913.37852557461,4.9133785255746
3,81.8205979390419,0,0,5109.91366659759,5.10991366659759
4,75.6167906026109,0,0,5314.31021326149,5.31431021326149
5,69.3395568132202,0,0,5526.88262179195,5.52688262179195
6,64.4783804999241,210240,205.232331120656,5856.58192666363,5.85658192666363
7,55.7146930316781,0,0,5977.87624373018,5.97787624373018
8,73.4472811163715,19710000,19240.5310425615,8932.59129347939,8.93259129347939
9,66.8675475056289,0,0,6465.67094521856,6.46567094521856
10,61.5889892092216,210240,205.232331120656,6832.9217830273,6.8329217830273
11,79.0029797465314,19710000,19240.5310425615,9708.8696943484,9.7088696943484
12,72.1868426608131,0,0,7273.00048212233,7.27300048212233
13,65.29003176594,0,0,7563.92050140723,7.56392050140723
14,59.5739778536394,210240,205.232331120656,7975.10132146351,7.97510132146351
15,76.5452947046359,19710000,19240.5310425615,10896.7364143221,10.8967364143221
16,69.400688054151,0,0,8508.38187089494,8.50838187089494
17,63.3427315138699,210240,205.232331120656,8957.34114573074,8.95734114573074
18,79.9680990771705,19710000,19240.5310425615,11918.26583156,11.91826583156
19,72.5667936088561,0,0,9570.77246482236,9.57077246482237
20,65.0778884492008,0,0,9953.60336341526,9.95360336341526
