Year,CI,Cost_NGN,Cost_GBP,CO2_kg,CO2_t
0,100,98550000,96202.6552128075,82899.0336,82.8990336
1,96.4511755617371,0,0,4724.40242843712,4.72440242843712
2,92.8603482732006,0,0,4913.37852557461,4.9133785255746
3,89.2270210009137,0,0,5109.91366659759,5.10991366659759
4,85.5506907274732,0,0,5314.31021326149,5.31431021326149
5,81.8308484819083,0,0,5526.88262179195,5.52688262179195
6,78.0669792692166,0,0,5747.95792666363,5.74795792666363
7,74.2585619990653,0,0,5977.87624373018,5.97787624373018
8,70.4050694136481,0,0,6216.99129347938,6.21699129347938
9,66.5059680146895,0,0,6465.67094521856,6.46567094521856
10,65.3260816168185,315360,307.848496680984,8204.3873830273,8.2043873830273
11,59.8825204537429,0,0,6993.2696943484,6.9932696943484
12,83.774530889526,39420000,38481.062085123,30399.4004821223,30.3994004821223
13,79.6875318407123,0,0,7563.92050140723,7.56392050140723
14,75.5521602640089,0,0,7866.47732146351,7.86647732146351
15,71.3678436362938,0,0,8181.13641432205,8.18113641432205
16,67.1340026582286,0,0,8508.38187089494,8.50838187089494
17,65.4922506343583,315360,307.848496680984,10328.8067457307,10.3288067457307
18,59.5813573385365,0,0,9202.66583155997,9.20266583155997
19,83.0005044348481,39420000,38481.062085123,32697.1724648224,32.6971724648224
20,78.562634710608,0,0,9953.60336341526,9.95360336341526
